,method,k,weight,accuracy,w,base,distance
0,LSA,5,vec,0.136,False,LSA,cosine
1,LSA,5,vec,0.09699999999999999,False,LSA,euclid
2,LSA,10,vec,0.174,False,LSA,cosine
3,LSA,10,vec,0.14,False,LSA,euclid
4,LSA,20,vec,0.278,False,LSA,cosine
5,LSA,20,vec,0.20800000000000002,False,LSA,euclid
6,LSA,30,vec,0.215,False,LSA,cosine
7,LSA,30,vec,0.205,False,LSA,euclid
8,wLSA,5,vec,0.141,True,LSA,cosine
9,wLSA,5,vec,0.09699999999999999,True,LSA,euclid
10,wLSA,10,vec,0.183,True,LSA,cosine
11,wLSA,10,vec,0.146,True,LSA,euclid
12,wLSA,20,vec,0.307,True,LSA,cosine
13,wLSA,20,vec,0.222,True,LSA,euclid
14,wLSA,30,vec,0.34700000000000003,True,LSA,cosine
15,wLSA,30,vec,0.25,True,LSA,euclid
16,wLSA2,5,vec,0.141,True,LSA,cosine
17,wLSA2,5,vec,0.096,True,LSA,euclid
18,wLSA2,10,vec,0.184,True,LSA,cosine
19,wLSA2,10,vec,0.146,True,LSA,euclid
20,wLSA2,20,vec,0.308,True,LSA,cosine
21,wLSA2,20,vec,0.222,True,LSA,euclid
22,wLSA2,30,vec,0.34700000000000003,True,LSA,cosine
23,wLSA2,30,vec,0.251,True,LSA,euclid
24,LDA,5,vec,0.249,False,LDA,cosine
25,LDA,5,vec,0.245,False,LDA,euclid
26,LDA,10,vec,0.355,False,LDA,cosine
27,LDA,10,vec,0.348,False,LDA,euclid
28,LDA,20,vec,0.389,False,LDA,cosine
29,LDA,20,vec,0.389,False,LDA,euclid
30,LDA,30,vec,0.41,False,LDA,cosine
31,LDA,30,vec,0.40399999999999997,False,LDA,euclid
32,wLDA,5,vec,0.205,True,LDA,cosine
33,wLDA,5,vec,0.204,True,LDA,euclid
34,wLDA,10,vec,0.33299999999999996,True,LDA,cosine
35,wLDA,10,vec,0.32799999999999996,True,LDA,euclid
36,wLDA,20,vec,0.409,True,LDA,cosine
37,wLDA,20,vec,0.41,True,LDA,euclid
38,wLDA,30,vec,0.488,True,LDA,cosine
39,wLDA,30,vec,0.483,True,LDA,euclid
40,wLDA2,5,vec,0.209,True,LDA,cosine
41,wLDA2,5,vec,0.20800000000000002,True,LDA,euclid
42,wLDA2,10,vec,0.32799999999999996,True,LDA,cosine
43,wLDA2,10,vec,0.326,True,LDA,euclid
44,wLDA2,20,vec,0.43799999999999994,True,LDA,cosine
45,wLDA2,20,vec,0.435,True,LDA,euclid
46,wLDA2,30,vec,0.43,True,LDA,cosine
47,wLDA2,30,vec,0.426,True,LDA,euclid
48,LSA,5,idf,0.34,False,LSA,cosine
49,LSA,5,idf,0.32299999999999995,False,LSA,euclid
50,LSA,10,idf,0.39399999999999996,False,LSA,cosine
51,LSA,10,idf,0.377,False,LSA,euclid
52,LSA,20,idf,0.48700000000000004,False,LSA,cosine
53,LSA,20,idf,0.47200000000000003,False,LSA,euclid
54,LSA,30,idf,0.523,False,LSA,cosine
55,LSA,30,idf,0.505,False,LSA,euclid
56,wLSA,5,idf,0.36700000000000005,True,LSA,cosine
57,wLSA,5,idf,0.33299999999999996,True,LSA,euclid
58,wLSA,10,idf,0.423,True,LSA,cosine
59,wLSA,10,idf,0.4,True,LSA,euclid
60,wLSA,20,idf,0.52,True,LSA,cosine
61,wLSA,20,idf,0.484,True,LSA,euclid
62,wLSA,30,idf,0.551,True,LSA,cosine
63,wLSA,30,idf,0.516,True,LSA,euclid
64,wLSA2,5,idf,0.368,True,LSA,cosine
65,wLSA2,5,idf,0.33299999999999996,True,LSA,euclid
66,wLSA2,10,idf,0.424,True,LSA,cosine
67,wLSA2,10,idf,0.4,True,LSA,euclid
68,wLSA2,20,idf,0.52,True,LSA,cosine
69,wLSA2,20,idf,0.483,True,LSA,euclid
70,wLSA2,30,idf,0.551,True,LSA,cosine
71,wLSA2,30,idf,0.517,True,LSA,euclid
72,LDA,5,idf,0.21,False,LDA,cosine
73,LDA,5,idf,0.20800000000000002,False,LDA,euclid
74,LDA,10,idf,0.18899999999999997,False,LDA,cosine
75,LDA,10,idf,0.18899999999999997,False,LDA,euclid
76,LDA,20,idf,0.24,False,LDA,cosine
77,LDA,20,idf,0.22399999999999998,False,LDA,euclid
78,LDA,30,idf,0.184,False,LDA,cosine
79,LDA,30,idf,0.18,False,LDA,euclid
80,wLDA,5,idf,0.16399999999999998,True,LDA,cosine
81,wLDA,5,idf,0.163,True,LDA,euclid
82,wLDA,10,idf,0.141,True,LDA,cosine
83,wLDA,10,idf,0.138,True,LDA,euclid
84,wLDA,20,idf,0.122,True,LDA,cosine
85,wLDA,20,idf,0.122,True,LDA,euclid
86,wLDA,30,idf,0.086,True,LDA,cosine
87,wLDA,30,idf,0.079,True,LDA,euclid
88,wLDA2,5,idf,0.163,True,LDA,cosine
89,wLDA2,5,idf,0.162,True,LDA,euclid
90,wLDA2,10,idf,0.079,True,LDA,cosine
91,wLDA2,10,idf,0.07400000000000001,True,LDA,euclid
92,wLDA2,20,idf,0.155,True,LDA,cosine
93,wLDA2,20,idf,0.159,True,LDA,euclid
94,wLDA2,30,idf,0.068,True,LDA,cosine
95,wLDA2,30,idf,0.066,True,LDA,euclid
